route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
2220,20110916,2220150916115,To Southworth,,,2220
2220,20110916,2220150916116,To Southworth,,,2220
2220,20110916,2220150916117,To Southworth,,,2220
2220,20110916,2220150916118,To Southworth,,,2220
2220,20110916,2220150916119,To Southworth,,,2220
229,20110916,229140916110,To Fauntleroy,,,229
229,20110916,229140916111,To Fauntleroy,,,229
229,20110916,2291409161110,To Fauntleroy,,,229
229,20110916,2291409161111,To Fauntleroy,,,229
229,20110916,2291409161112,To Fauntleroy,,,229
229,20110916,2291409161113,To Fauntleroy,,,229
229,20110916,2291409161114,To Fauntleroy,,,229
229,20110916,2291409161115,To Fauntleroy,,,229
229,20110916,2291409161116,To Fauntleroy,,,229
229,20110916,2291409161117,To Fauntleroy,,,229
229,20110916,2291409161118,To Fauntleroy,,,229
229,20110916,2291409161119,To Fauntleroy,,,229
229,20110916,229140916112,To Fauntleroy,,,229
229,20110916,2291409161120,To Fauntleroy,,,229
229,20110916,2291409161121,To Fauntleroy,,,229
229,20110916,2291409161122,To Fauntleroy,,,229
229,20110916,2291409161123,To Fauntleroy,,,229
229,20110916,2291409161124,To Fauntleroy,,,229
229,20110916,2291409161125,To Fauntleroy,,,229
229,20110916,2291409161126,To Fauntleroy,,,229
229,20110916,2291409161127,To Fauntleroy,,,229
229,20110916,2291409161128,To Fauntleroy,,,229
229,20110916,2291409161129,To Fauntleroy,,,229
229,20110916,229140916113,To Fauntleroy,,,229
229,20110916,2291409161130,To Fauntleroy,,,229
229,20110916,2291409161131,To Fauntleroy,,,229
229,20110916,2291409161132,To Fauntleroy,,,229
229,20110916,2291409161133,To Fauntleroy,,,229
229,20110916,229140916114,To Fauntleroy,,,229
229,20110916,229140916115,To Fauntleroy,,,229
229,20110916,229140916116,To Fauntleroy,,,229
229,20110916,229140916117,To Fauntleroy,,,229
229,20110916,229140916118,To Fauntleroy,,,229
229,20110916,229140916119,To Fauntleroy,,,229
37,20110916,3750916110,To Seattle,,,37
37,20110916,3750916111,To Seattle,,,37
37,20110916,37509161110,To Seattle,,,37
37,20110916,37509161111,To Seattle,,,37
37,20110916,37509161112,To Seattle,,,37
37,20110916,37509161113,To Seattle,,,37
37,20110916,37509161114,To Seattle,,,37
37,20110916,37509161115,To Seattle,,,37
37,20110916,37509161116,To Seattle,,,37
37,20110916,37509161117,To Seattle,,,37
37,20110916,37509161118,To Seattle,,,37
37,20110916,37509161119,To Seattle,,,37
37,20110916,3750916112,To Seattle,,,37
37,20110916,37509161120,To Seattle,,,37
37,20110916,37509161121,To Seattle,,,37
37,20110916,37509161122,To Seattle,,,37
37,20110916,3750916113,To Seattle,,,37
37,20110916,3750916114,To Seattle,,,37
37,20110916,3750916115,To Seattle,,,37
37,20110916,3750916116,To Seattle,,,37
37,20110916,3750916117,To Seattle,,,37
37,20110916,3750916118,To Seattle,,,37
37,20110916,3750916119,To Seattle,,,37
47,20110916,4730916110,To Seattle,,,47
47,20110916,4730916111,To Seattle,,,47
47,20110916,47309161110,To Seattle,,,47
47,20110916,47309161111,To Seattle,,,47
47,20110916,47309161112,To Seattle,,,47
47,20110916,47309161113,To Seattle,,,47
47,20110916,47309161114,To Seattle,,,47
47,20110916,4730916112,To Seattle,,,47
47,20110916,4730916113,To Seattle,,,47
47,20110916,4730916114,To Seattle,,,47
47,20110916,4730916115,To Seattle,,,47
47,20110916,4730916116,To Seattle,,,47
47,20110916,4730916117,To Seattle,,,47
47,20110916,4730916118,To Seattle,,,47
47,20110916,4730916119,To Seattle,,,47
514,20110916,51470916110,To Mukilteo,,,514
514,20110916,51470916111,To Mukilteo,,,514
514,20110916,514709161110,To Mukilteo,,,514
514,20110916,514709161111,To Mukilteo,,,514
514,20110916,514709161112,To Mukilteo,,,514
514,20110916,514709161113,To Mukilteo,,,514
514,20110916,514709161114,To Mukilteo,,,514
514,20110916,514709161115,To Mukilteo,,,514
514,20110916,514709161116,To Mukilteo,,,514
514,20110916,514709161117,To Mukilteo,,,514
514,20110916,514709161118,To Mukilteo,,,514
514,20110916,514709161119,To Mukilteo,,,514
514,20110916,51470916112,To Mukilteo,,,514
514,20110916,514709161120,To Mukilteo,,,514
514,20110916,514709161121,To Mukilteo,,,514
514,20110916,514709161122,To Mukilteo,,,514
514,20110916,514709161123,To Mukilteo,,,514
514,20110916,514709161124,To Mukilteo,,,514
514,20110916,514709161125,To Mukilteo,,,514
514,20110916,514709161126,To Mukilteo,,,514
514,20110916,514709161127,To Mukilteo,,,514
514,20110916,514709161128,To Mukilteo,,,514
514,20110916,514709161129,To Mukilteo,,,514
514,20110916,51470916113,To Mukilteo,,,514
514,20110916,514709161130,To Mukilteo,,,514
514,20110916,514709161131,To Mukilteo,,,514
514,20110916,514709161132,To Mukilteo,,,514
514,20110916,514709161133,To Mukilteo,,,514
514,20110916,514709161134,To Mukilteo,,,514
514,20110916,514709161135,To Mukilteo,,,514
514,20110916,514709161136,To Mukilteo,,,514
514,20110916,514709161137,To Mukilteo,,,514
514,20110916,514709161138,To Mukilteo,,,514
514,20110916,514709161139,To Mukilteo,,,514
514,20110916,51470916114,To Mukilteo,,,514
514,20110916,514709161140,To Mukilteo,,,514
514,20110916,51470916115,To Mukilteo,,,514
514,20110916,51470916116,To Mukilteo,,,514
514,20110916,51470916117,To Mukilteo,,,514
514,20110916,51470916118,To Mukilteo,,,514
514,20110916,51470916119,To Mukilteo,,,514
73,20110916,7350916110,To Bainbridge Island,,,73
73,20110916,7350916111,To Bainbridge Island,,,73
73,20110916,73509161110,To Bainbridge Island,,,73
73,20110916,73509161111,To Bainbridge Island,,,73
73,20110916,73509161112,To Bainbridge Island,,,73
73,20110916,73509161113,To Bainbridge Island,,,73
73,20110916,73509161114,To Bainbridge Island,,,73
73,20110916,73509161115,To Bainbridge Island,,,73
73,20110916,73509161116,To Bainbridge Island,,,73
73,20110916,73509161117,To Bainbridge Island,,,73
73,20110916,73509161118,To Bainbridge Island,,,73
73,20110916,73509161119,To Bainbridge Island,,,73
73,20110916,7350916112,To Bainbridge Island,,,73
73,20110916,73509161120,To Bainbridge Island,,,73
73,20110916,73509161121,To Bainbridge Island,,,73
73,20110916,73509161122,To Bainbridge Island,,,73
73,20110916,7350916113,To Bainbridge Island,,,73
73,20110916,7350916114,To Bainbridge Island,,,73
73,20110916,7350916115,To Bainbridge Island,,,73
73,20110916,7350916116,To Bainbridge Island,,,73
73,20110916,7350916117,To Bainbridge Island,,,73
73,20110916,7350916118,To Bainbridge Island,,,73
73,20110916,7350916119,To Bainbridge Island,,,73
74,20110916,7430916110,To Bremerton,,,74
