trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
C15008,8,C_476,09:17:00,09:17:00,Everett,,0,0,
C15008,9,C_759,09:23:00,09:23:00,Everett,,0,0,
C15008,10,C_2158,09:29:00,09:29:00,Everett,,0,0,
C15008,12,C_2766,09:35:00,09:35:00,Everett,,0,0,
C15008,13,C_2114,09:40:00,09:40:00,Everett,,0,0,
C15008,14,C_2131,09:49:00,09:49:00,Everett,,0,0,
C15008,15,C_2869,09:57:00,09:57:00,Everett,,0,0,
C15008,16,C_2364,10:04:00,10:04:00,Everett,,0,0,
C15008,17,C_2861,10:05:00,10:05:00,Everett,,0,0,
C15009,1,C_2907,09:35:00,09:35:00,Everett,,0,0,
C15009,2,C_640,09:38:00,09:38:00,Everett,,0,0,
C15009,3,C_635,09:39:00,09:39:00,Everett,,0,0,
C15009,4,C_2638,09:40:00,09:40:00,Everett,,0,0,
C15009,5,C_641,09:42:00,09:42:00,Everett,,0,0,
C15009,6,C_634,09:43:00,09:43:00,Everett,,0,0,
C15009,7,C_473,09:45:00,09:45:00,Everett,,0,0,
C15009,8,C_476,09:47:00,09:47:00,Everett,,0,0,
C15009,9,C_759,09:53:00,09:53:00,Everett,,0,0,
C15009,10,C_2158,09:59:00,09:59:00,Everett,,0,0,
C15009,12,C_2766,10:05:00,10:05:00,Everett,,0,0,
C15009,13,C_2114,10:10:00,10:10:00,Everett,,0,0,
C15009,14,C_2131,10:19:00,10:19:00,Everett,,0,0,
C15009,15,C_2869,10:27:00,10:27:00,Everett,,0,0,
C15009,16,C_2364,10:34:00,10:34:00,Everett,,0,0,
C15009,17,C_2861,10:35:00,10:35:00,Everett,,0,0,
C15010,1,C_2907,10:05:00,10:05:00,Everett,,0,0,
C15010,2,C_640,10:08:00,10:08:00,Everett,,0,0,
C15010,3,C_635,10:09:00,10:09:00,Everett,,0,0,
C15010,4,C_2638,10:10:00,10:10:00,Everett,,0,0,
C15010,5,C_641,10:12:00,10:12:00,Everett,,0,0,
C15010,6,C_634,10:13:00,10:13:00,Everett,,0,0,
C15010,7,C_473,10:15:00,10:15:00,Everett,,0,0,
C15010,8,C_476,10:17:00,10:17:00,Everett,,0,0,
C15010,9,C_759,10:24:00,10:24:00,Everett,,0,0,
C15010,10,C_2158,10:30:00,10:30:00,Everett,,0,0,
C15010,12,C_2766,10:36:00,10:36:00,Everett,,0,0,
C15010,13,C_2114,10:41:00,10:41:00,Everett,,0,0,
C15010,14,C_2131,10:50:00,10:50:00,Everett,,0,0,
C15010,15,C_2869,10:58:00,10:58:00,Everett,,0,0,
C15010,16,C_2364,11:05:00,11:05:00,Everett,,0,0,
C15010,17,C_2861,11:06:00,11:06:00,Everett,,0,0,
C15011,1,C_2907,10:35:00,10:35:00,Everett,,0,0,
C15011,2,C_640,10:38:00,10:38:00,Everett,,0,0,
C15011,3,C_635,10:39:00,10:39:00,Everett,,0,0,
C15011,4,C_2638,10:40:00,10:40:00,Everett,,0,0,
C15011,5,C_641,10:42:00,10:42:00,Everett,,0,0,
C15011,6,C_634,10:43:00,10:43:00,Everett,,0,0,
C15011,7,C_473,10:45:00,10:45:00,Everett,,0,0,
C15011,8,C_476,10:47:00,10:47:00,Everett,,0,0,
C15011,9,C_759,10:54:00,10:54:00,Everett,,0,0,
C15011,10,C_2158,11:00:00,11:00:00,Everett,,0,0,
C15011,12,C_2766,11:06:00,11:06:00,Everett,,0,0,
C15011,13,C_2114,11:11:00,11:11:00,Everett,,0,0,
C15011,14,C_2131,11:20:00,11:20:00,Everett,,0,0,
C15011,15,C_2869,11:28:00,11:28:00,Everett,,0,0,
C15011,16,C_2364,11:35:00,11:35:00,Everett,,0,0,
C15011,17,C_2861,11:36:00,11:36:00,Everett,,0,0,
C15012,1,C_2907,11:05:00,11:05:00,Everett,,0,0,
C15012,2,C_640,11:08:00,11:08:00,Everett,,0,0,
C15012,3,C_635,11:09:00,11:09:00,Everett,,0,0,
C15012,4,C_2638,11:10:00,11:10:00,Everett,,0,0,
C15012,5,C_641,11:12:00,11:12:00,Everett,,0,0,
C15012,6,C_634,11:13:00,11:13:00,Everett,,0,0,
C15012,7,C_473,11:15:00,11:15:00,Everett,,0,0,
C15012,8,C_476,11:17:00,11:17:00,Everett,,0,0,
C15012,9,C_759,11:24:00,11:24:00,Everett,,0,0,
C15012,10,C_2158,11:30:00,11:30:00,Everett,,0,0,
C15012,12,C_2766,11:36:00,11:36:00,Everett,,0,0,
C15012,13,C_2114,11:41:00,11:41:00,Everett,,0,0,
C15012,14,C_2131,11:50:00,11:50:00,Everett,,0,0,
C15012,15,C_2869,11:58:00,11:58:00,Everett,,0,0,
C15012,16,C_2364,12:05:00,12:05:00,Everett,,0,0,
C15012,17,C_2861,12:06:00,12:06:00,Everett,,0,0,
C15013,1,C_2907,11:35:00,11:35:00,Everett,,0,0,
C15013,2,C_640,11:38:00,11:38:00,Everett,,0,0,
C15013,3,C_635,11:39:00,11:39:00,Everett,,0,0,
C15013,4,C_2638,11:40:00,11:40:00,Everett,,0,0,
C15013,5,C_641,11:42:00,11:42:00,Everett,,0,0,
C15013,6,C_634,11:43:00,11:43:00,Everett,,0,0,
C15013,7,C_473,11:45:00,11:45:00,Everett,,0,0,
C15013,8,C_476,11:47:00,11:47:00,Everett,,0,0,
C15013,9,C_759,11:54:00,11:54:00,Everett,,0,0,
C15013,10,C_2158,12:00:00,12:00:00,Everett,,0,0,
C15013,12,C_2766,12:06:00,12:06:00,Everett,,0,0,
C15013,13,C_2114,12:11:00,12:11:00,Everett,,0,0,
C15013,14,C_2131,12:20:00,12:20:00,Everett,,0,0,
C15013,15,C_2869,12:28:00,12:28:00,Everett,,0,0,
C15013,16,C_2364,12:35:00,12:35:00,Everett,,0,0,
C15013,17,C_2861,12:36:00,12:36:00,Everett,,0,0,
C15014,1,C_2907,12:05:00,12:05:00,Everett,,0,0,
C15014,2,C_640,12:08:00,12:08:00,Everett,,0,0,
C15014,3,C_635,12:09:00,12:09:00,Everett,,0,0,
C15014,4,C_2638,12:11:00,12:11:00,Everett,,0,0,
C15014,5,C_641,12:13:00,12:13:00,Everett,,0,0,
C15014,6,C_634,12:14:00,12:14:00,Everett,,0,0,
C15014,7,C_473,12:16:00,12:16:00,Everett,,0,0,
C15014,8,C_476,12:18:00,12:18:00,Everett,,0,0,
C15014,9,C_759,12:27:00,12:27:00,Everett,,0,0,
C15014,10,C_2158,12:33:00,12:33:00,Everett,,0,0,
